Date-Heure,f1_0,f1_1,accuracy
2023-03-30-22-35,0.7459165154264973,0.8639455782312926,0.8227848101265823
2023-03-30-22-48,0.7148803329864725,0.8743119266055045,0.8255332696593441
2023-03-30-23-02,0.7577207481513701,0.8784638882827842,0.8381284510316769
2023-04-01-13-46,0.759124087591241,0.872093023255814,0.8329113924050633
2023-04-11-09-35,0.7511230907457321,0.8646800195407913,0.8246835443037974
2023-04-11-10-20,0.794074074074074,0.8846473029045643,0.8521276595744681
2023-04-11-12-52,0.794251134644478,0.8884331419196062,0.8553191489361702
