Date-Heure,f1_0,f1_1,accuracy
2023-03-30-22-36,0.7932739861523244,0.9027454630060494,0.8677215189873417
2023-03-30-22-53,0.8,0.9136083884203328,0.8793377905125757
2023-03-30-23-09,0.8216985326811916,0.9134470105763004,0.8834641092705608
2023-04-01-13-44,0.7932739861523244,0.9027454630060494,0.8677215189873417
2023-04-11-09-34,0.7932739861523244,0.9027454630060494,0.8677215189873417
2023-04-11-10-21,0.8342857142857144,0.9199211045364892,0.8920212765957447
2023-04-11-12-53,0.8342857142857144,0.9199211045364891,0.8920212765957447
