Date-Heure,f1_0,f1_1,accuracy
2023-03-30-22-35,0.7746967071057194,0.8703888334995015,0.8354430379746836
2023-03-30-22-48,0.7633587786259541,0.8815097945532728,0.8420885068449538
2023-03-30-23-02,0.7755102040816325,0.8720054757015743,0.8369659982563208
2023-04-01-13-46,0.7746967071057194,0.8703888334995015,0.8354430379746836
2023-04-11-09-35,0.7746967071057194,0.8703888334995015,0.8354430379746836
2023-04-11-10-20,0.8204379562043796,0.8970711297071129,0.8691489361702127
2023-04-11-12-52,0.8204379562043796,0.8970711297071129,0.8691489361702127
